a_1,a_2,b_1,b_2,g_1,g_2,steps til period gets recognized,time period,horizontal period,average time in seconds per peeling,average tube thickness in Period,average vertical translation in period,max tube thickness in period
3,34,0,1,1,1,3,3,34,0.00021580855051676431,0.8014705882353681,0.3333333333333333,0.8333333333335133
3,35,0,1,1,1,6,3,35,0.00036417113410101994,0.7244047619048217,0.3333333333333333,0.7714285714286007
3,37,0,1,1,1,3,3,37,0.00030152002970377606,0.7224099099099988,0.3333333333333333,0.7860360360360801
3,38,0,1,1,1,3,3,38,0.00023011366526285806,0.7105263157896218,0.3333333333333333,0.8421052631579187
3,40,0,1,1,1,3,3,20,0.00014952818552652994,0.5583333333333513,0.3333333333333333,0.7000000000000028
3,41,0,1,1,1,3,3,41,0.0003534555435180664,0.7036472448058573,0.3333333333333333,0.7500000000000036
3,43,0,1,1,1,3,3,43,0.0004848639170328776,0.6831395348838081,0.3333333333333333,0.798449612403374
3,44,0,1,1,1,3,3,22,0.00024704138437906903,0.5734427609428134,0.3333333333333333,0.666666666666714
3,46,0,1,1,1,6,3,46,0.00042941835191514756,0.719202898550769,0.3333333333333333,0.8333333333334849
3,47,0,1,1,1,6,3,47,0.0004571278889973958,0.7203014184397811,0.3333333333333333,0.7659574468085069
3,49,0,1,1,1,7,3,49,0.0005068063735961914,0.713860544217809,0.3333333333333333,0.7568027210887749
3,50,0,1,1,1,7,3,50,0.0003324747085571289,0.7100000000001145,0.3333333333333333,0.8400000000000034
3,52,0,1,1,1,7,3,26,0.0002337217330932617,0.5831552706553014,0.3333333333333333,0.7564102564103337
3,53,0,1,1,1,7,3,53,0.0004678487777709961,0.741548742138491,0.3333333333333333,0.7771226415095498
3,55,0,1,1,1,7,3,55,0.0005001544952392579,0.7414772727274181,0.3333333333333333,0.9227272727272862
3,56,0,1,1,1,7,3,28,0.00029001235961914065,0.6502976190476453,0.3333333333333333,0.8392857142857224
3,58,0,1,1,1,7,3,58,0.0004840850830078125,0.8078304597702584,0.3333333333333333,0.875
3,59,0,1,1,1,7,3,59,0.0006200075149536133,0.751157407407689,0.3333333333333333,0.8139124293788882
3,61,0,1,1,1,7,3,61,0.0005902290344238281,0.7272882513662466,0.3333333333333333,0.7718579234974641
3,62,0,1,1,1,7,3,62,0.0005247592926025391,0.7736708482680257,0.3333333333333333,0.7962962962966458
3,64,0,1,1,1,11,3,32,0.0002975974764142718,0.7669270833333428,0.3333333333333333,1.0
3,65,0,1,1,1,18,3,65,0.0005495094117664156,1.1358173076923777,0.3333333333333333,1.3541666666667425
3,67,0,1,1,1,20,4,67,0.0006561179955800375,1.1579671089000203,0.25,1.294776119402985
3,68,0,1,1,1,12,4,34,0.0003441423177719116,0.7403050108932689,0.25,0.7941176470588402
3,70,0,1,1,1,8,4,70,0.00047818819681803387,0.802354497354554,0.25,0.9583333333334849
3,71,0,1,1,1,8,4,71,0.000624080499013265,0.7477112676058774,0.25,0.8171948356812813
3,73,0,1,1,1,8,4,73,0.0005670587221781412,0.7550481988839195,0.25,0.9178082191780845
3,74,0,1,1,1,8,4,74,0.0005944768587748209,0.7487487487490625,0.25,0.851851851852075
3,76,0,1,1,1,9,4,38,0.00031058604900653544,0.6249512670565739,0.25,0.75
3,77,0,1,1,1,9,4,77,0.0006537070641150841,0.7820406445406937,0.25,0.8807118807119565
3,79,0,1,1,1,9,4,79,0.0007135317875788762,0.6897679324896032,0.25,0.7763713080171328
3,80,0,1,1,1,9,4,40,0.0003545100872333233,0.6020370370371392,0.25,0.704166666666822
3,82,0,1,1,1,9,4,82,0.0007487810575045072,0.7731707317075689,0.25,0.8333333333337123
3,83,0,1,1,1,9,4,83,0.0009684379284198468,0.8151327532354025,0.25,0.9166666666667425
3,85,0,1,1,1,9,4,85,0.0008101096520057091,0.7420806100219834,0.25,0.7708333333334849
3,86,0,1,1,1,9,4,86,0.000737923842210036,0.7864556416884412,0.25,0.8557278208443222
3,88,0,1,1,1,9,4,44,0.0003490998194767879,0.6276936026937092,0.25,0.7037037037038658
3,89,0,1,1,1,9,4,89,0.0008193162771371695,0.7309456928839099,0.25,0.771769662921348
3,91,0,1,1,1,9,4,91,0.0008162168356088492,0.7219169719172441,0.25,0.8157305657314282
3,92,0,1,1,1,9,4,46,0.00045161980849045975,0.6811594202898714,0.25,0.7536231884058724
3,94,0,1,1,1,9,4,94,0.0008843495295597956,0.7723404255320961,0.25,0.8333333333335986
3,95,0,1,1,1,9,4,95,0.0008932260366586539,0.7430263157898935,0.25,0.8160087719304556
3,97,0,1,1,1,9,4,97,0.0008973341721754808,0.7390463917526716,0.25,0.7785652920963742
3,98,0,1,1,1,9,4,98,0.0008921623229980469,0.7521730914589625,0.25,0.875
3,100,0,1,1,1,9,4,50,0.00037088760962853063,0.6117777777778471,0.25,0.7533333333333729
4,5,0,1,1,1,1,1,5,0.0002377033233642578,1.0,1.0,1.0
4,7,0,1,1,1,1,1,7,0.00024330615997314453,1.0,1.0,1.0
4,9,0,1,1,1,4,2,9,0.0002580086390177409,1.189814814814819,0.5,1.444444444444457
4,11,0,1,1,1,2,2,11,0.0002238750457763672,0.8503787878787913,0.5,1.0
4,13,0,1,1,1,4,2,13,0.00023829936981201172,0.8733974358974402,0.5,1.0
4,15,0,1,1,1,2,2,15,0.000213623046875,0.9013888888888889,0.5,1.0
4,17,0,1,1,1,2,2,17,0.0002257227897644043,0.9068627450980392,0.5,1.0
4,19,0,1,1,1,2,2,19,0.00025081634521484375,0.8519736842105262,0.5,1.0
4,21,0,1,1,1,2,2,21,0.0002866983413696289,0.8819444444444441,0.5,1.0
4,23,0,1,1,1,2,2,23,0.00023406744003295898,0.8915307971014576,0.5,1.0
4,25,0,1,1,1,4,2,25,0.0002172390619913737,0.6758333333333327,0.5,0.8224999999999998
4,27,0,1,1,1,4,2,27,0.0003581047058105469,0.9027777777777768,0.5,0.9467592592592586
4,29,0,1,1,1,7,2,29,0.00038743019104003906,0.8512931034482758,0.5,1.0
4,31,0,1,1,1,12,2,31,0.00027680397033691406,1.3454301075269086,0.5,1.4375
4,33,0,1,1,1,15,3,33,0.00037038326263427734,1.2843276515151842,0.3333333333333333,1.4848484848484986
4,35,0,1,1,1,6,3,35,0.00037980079650878906,0.8452008928571426,0.3333333333333333,1.0
4,37,0,1,1,1,6,3,37,0.00041786829630533856,0.8455447635135585,0.3333333333333333,1.0
4,39,0,1,1,1,6,3,39,0.00042592154608832463,0.8145032051282115,0.3333333333333333,1.0
