a_1,a_2,b_1,b_2,g_1,g_2,steps til period gets recognized,time period,horizontal period,average time in seconds per peeling,average tube thickness in Period,average vertical translation in period,max tube thickness in period
1,8,1,15,1,1,121,45,60,0.00038999390889363114,0.9612439613529445,0.4222222222222222,1.000555555556275
1,8,1,16,1,1,31,12,16,0.00014301233513410702,0.7770432692307693,0.4166666666666667,0.8203125
1,8,1,17,1,1,128,51,68,0.00043596502122932306,0.969731501198095,0.4117647058823529,1.01427335640264
1,8,1,18,1,1,66,27,36,0.00025427982371340515,0.9198633156968314,0.4074074074074074,0.9645061728401991
1,8,1,19,1,1,136,57,76,0.0004757228910614172,0.9766154838100083,0.40350877192982454,1.0252770083134237
1,8,1,20,1,1,35,15,20,0.00017546653747558595,0.8284375000000601,0.4,0.880000000000166
1,8,2,3,1,1,18,9,12,0.00012059564943666812,0.7097222222222517,0.4444444444444444,0.7222222222222854
1,8,2,5,1,1,32,15,20,0.00018867533257667054,0.8356250000000085,0.4666666666666667,0.8450000000000202
1,8,2,7,1,1,42,21,28,0.000207897216554672,0.892161410018667,0.3809523809523809,0.9489795918369737
1,8,2,9,1,1,70,27,36,0.00026707796706366786,0.9216820987655014,0.37037037037037035,0.9876543209878719
1,8,2,11,1,1,70,33,44,0.00030760394716725765,0.9367707826933994,0.42424242424242425,0.9752066115709113
1,8,2,13,1,1,108,39,52,0.0003518587877961243,0.9516642011836185,0.46153846153846156,0.9704142011839849
1,8,2,15,1,1,110,45,60,0.0004076865411573841,0.9659903381645991,0.4888888888888889,0.968888888890433
1,8,2,17,1,1,116,51,68,0.00045596482511052114,0.9736658237961454,0.49019607843137253,0.9762110726660467
1,8,2,19,1,1,125,57,76,0.0004942666043292035,0.9759946031144078,0.47368421052631576,0.9892659279792042
1,8,3,4,1,1,3,3,4,0.00012814998626708984,0.3125,0.3333333333333333,0.5
1,8,3,5,1,1,32,15,20,0.00018208077613343583,0.835625000000053,0.4666666666666667,0.8450000000001552
1,8,3,7,1,1,58,21,28,0.00031368641913691656,0.884392393321033,0.42857142857142855,0.9209183673470491
1,8,3,8,1,1,4,2,8,0.00021314620971679688,0.53125,0.5,0.53125
1,8,3,10,1,1,34,15,20,0.00017766076691296635,0.8284375000000532,0.4,0.8800000000001091
1,8,3,11,1,1,76,33,44,0.0002860760470049097,0.9432122022364202,0.36363636363636365,1.0123966942155675
1,8,3,13,1,1,83,39,52,0.000332836244927078,0.9331915680476401,0.358974358974359,0.9526627218942849
1,8,3,14,1,1,42,21,28,0.0001960860358344184,0.8921614100186246,0.38095238095238093,0.94897959183686
1,8,3,16,1,1,31,12,16,0.00012304062067076217,0.7770432692307693,0.4166666666666667,0.8203125
1,8,3,17,1,1,125,51,68,0.0004487322135405107,0.9688165424544409,0.43137254901960786,1.003460207613898
1,8,3,19,1,1,127,57,76,0.0004852440046227497,0.9751110421249272,0.45614035087719296,0.9972299168986183
1,8,3,20,1,1,32,15,20,0.0001819996123618268,0.8371875000000066,0.4666666666666667,0.8450000000000273
1,8,4,5,1,1,34,15,20,0.0001870369424625319,0.8284375000000255,0.4,0.8800000000000523
1,8,4,7,1,1,58,21,28,0.00022630751887454262,0.8843923933210259,0.42857142857142855,0.920918367347042
1,8,4,9,1,1,66,27,36,0.00024405346121839298,0.9377204585539065,0.4074074074074074,0.9645061728397764
1,8,4,11,1,1,66,33,44,0.0003122271913470644,0.942604521147485,0.48484848484848486,0.9462809917363302
